0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Blonnik pokarmowy;Cholesterol;Sod;Potas;Wapn;Fosfor;Magnez;Zelazo;Cynk;Miedz;Mangan;Wit A;Wit D;Wit E;Tiamina;Ryboflawina;Niacyna;Wit B6;Foliany;Wit B12;Wit C
Chleb naleczowski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;248;1,3;6,6;55,3;3,7;0;391;142;16;96;28;1,2;1,13;0,13;0,75;0;0;0,49;0,159;0,077;1,21;0,1;28;0;0
Chleb poleski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;247;2,1;7,1;54,5;5,5;0;391;199;22;155;46;1,7;1,81;0,18;1,84;0;0;0,78;0,18;0,092;1,16;0,12;30,8;0;0
Chleb praski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;248;1,3;6,6;55,3;3,7;0;391;142;16;96;28;1,2;1,13;0,13;0,75;0;0;0,49;0,159;0,077;1,21;0,1;28;0;0
Chleb pszenny;50;Y;Y;Y;Y;Y;;Y;Pieczywo mieszane;Produkty zbozowe;Produkty;257;1,4;8,5;54,3;2,7;0;453;137;16;100;30;1,3;1,1;0,12;0,57;0;0;0,56;0,195;0,073;1,72;0,11;30,7;0;0
Chleb pszenny z ziarnem pszenicy;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;223;1,8;8,3;49,5;6,8;0;411;224;23;197;69;2,4;2,07;0,22;1,52;0;0;0,95;0,241;0,087;3,21;0,16;52,3;0;0
Chleb wiejski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;245;1,3;6,9;54;3,5;0;372;165;16;99;29;1,3;1,1;0,13;0,7;0;0;0,49;0,164;0,076;1,49;0,12;27,5;0;0
Chleb wielkopolski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;254;1,5;6,7;56,6;4,1;0;430;162;17;113;33;1,3;1,42;0,14;1,12;0;0;0,78;0,185;0,091;1,2;0,14;31,6;0;0
Chleb zakopianski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;261;1,5;7,7;56,9;3,7;1;409;191;52;121;33;1,4;1,3;0,13;0,76;2;0;0,49;0,171;0,129;1,26;0,11;28,6;0,08;0
Chleb zwykly;50;Y;Y;Y;Y;Y;;Y;Pieczywo mieszane;Produkty zbozowe;Produkty;248;1,3;6,1;56,3;4,2;0;391;148;17;98;29;1,2;1,17;0,13;0,84;0;0;0,47;0,149;0,08;1,05;0,1;27,6;0;0
Chleb zytni jasny;50;Y;Y;Y;Y;Y;;Y;Pieczywo zytnie;Produkty zbozowe;Produkty;243;1,3;3,8;57,4;4,1;0;456;115;14;68;19;0,8;0,77;0,07;0,52;0;0;0,15;0,092;0,052;0,45;0,06;11;0;0
Chleb zytni jasny mleczny;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;258;1,8;4,6;59,1;4,1;2;470;151;45;89;23;1;0,86;0,08;0,53;6;0;0,16;0,099;0,088;0,46;0,07;9;0,08;0,1
Chleb zytni pelnoziarnisty;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;225;1,8;6,8;53,8;9,1;1;455;356;66;245;71;2,5;2,86;0,26;3,01;0;0;0,89;0,192;0,172;0,85;0,17;44,8;0,07;0,1
Chleb zytni pytlowy;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;240;1,5;4,4;56,2;4,9;0;448;147;16;92;28;1,1;1,15;0,13;0,97;0;0;0,45;0,113;0,077;0,57;0,09;21,1;0;0
Chleb zytni razowy;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;213;1,7;5,9;51,2;8,4;0;457;279;25;204;64;2,3;2,54;0,24;2,74;0;0;0,86;0,14;0,103;0,86;0,17;28,5;0;0
Chleb zytni razowy litewski;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;224;1,7;6,6;52,6;7,8;1;357;314;60;215;61;2,2;2,49;0,23;2,55;0;0;0,8;0,143;0,156;0,89;0,16;35,4;0,06;0,1
Chleb zytni razowy na miodzie;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;225;1,6;5,6;54;7,8;0;348;260;24;187;57;2,1;2,37;0,22;2,55;0;0;0,8;0,128;0,098;0,76;0,15;26,4;0;0
Chleb zytni razowy wytrawny;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;217;1,7;7;50,8;8;1;508;334;71;227;65;2,3;2,57;0,23;2,6;0;0;0,81;0,15;0,177;0,96;0,17;40,2;0,08;0,1
Chleb zytni razowy z soja i slonecznikiem;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;226;3,5;7,8;48,7;8,4;0;371;391;39;236;74;2,6;2,48;0,33;2,59;0;0;1,3;0,177;0,114;0,96;0,19;38;0;0
Chleb zytni razowy ze sliwka;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;228;1,6;5,3;54,3;7;0;399;264;25;153;47;1,8;1,91;0,21;1,93;10;0;0,67;0,125;0,114;0,83;0,14;27,1;0;0,1
Chleb zytni sitkowy;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;220;1,5;5,4;53;7,4;0;464;217;23;159;49;1,8;2,12;0,18;2,36;0;0;0,69;0,143;0,089;0,82;0,14;24,9;0;0
Chleb zytni staropolski;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;225;1,4;4,5;52,1;4,2;0;410;155;15;81;24;1;1,01;0,12;0,79;0;0;0,41;0,11;0,076;0,8;0,09;22,3;0;0
Chleb zytni wilenski;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;218;1,5;4,4;52,2;6,3;0;355;188;19;125;37;1,4;1,7;0,15;1,86;0;0;0,59;0,115;0,079;0,62;0,11;20,4;0;0
Chrupki kukurydziane;;;;;;;;;Produkty sniadaniowe;Produkty zbozowe;Produkty;352;3;8,9;78,9;7,6;0;12;206;3;223;65;1,8;0,93;0,08;0,26;0;0;0;0,133;0,032;0,51;0,08;7;0;0
Chrzan;;;;;;;;;;;;67;0,6;4,5;18,1;7,3;0;7;740;78;120;43;1,2;1,4;0,23;0,46;3;0;0;0,14;0,11;0,6;0,18;37;0;114
Ciabatta;50;Y;Y;Y;Y;Y;;Y;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;298;3,6;8,7;58,7;2;0;516;124;16;81;21;1,2;0,8;0,1;0,35;0;0;0,61;0,11;0,076;0,99;0,05;40,9;0;0
"Ciastka ""Karpatki""";50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;456;30,8;4,9;40,7;0,4;103;64;56;19;61;5;0,7;0,52;0,04;0,06;292;1,76;4,56;0,03;0,139;0,19;0,02;12,4;0,33;0
"Ciastka ""Napoleonki""";50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;348;16,9;6,1;43,5;0,7;52;131;103;55;79;10;0,7;0,53;0,05;0,09;155;1,15;3,09;0,046;0,15;0,34;0,03;13,7;0,32;0,1
Ciastka drozdzowe z truskawkami;50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;383;13,6;8;58,5;1,8;59;163;146;38;92;14;1,3;0,73;0,09;0,23;130;0,96;2,54;0,083;0,186;0,85;0,05;46,3;0,27;8
Ciastka francuskie ze sliwkami;50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;435;26,6;5,3;45,4;1,6;51;160;136;20;47;9;0,8;0,37;0,08;0,15;250;1,02;3,53;0,06;0,065;0,6;0,03;13,7;0,06;1
Ciastka ponczowe z kremem;50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;393;17,3;4,6;55,3;0,8;44;42;74;26;56;7;0,7;0,44;0,04;0,1;154;1,06;2,97;0,046;0,115;0,44;0,03;26,1;0,19;0
Ciastka tortowe ze swiezymi owocami;50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;275;8,8;3,3;47,1;1,9;52;27;130;25;50;10;1;0,44;0,08;0,27;104;0,56;1,59;0,035;0,094;0,31;0,04;9,8;0,18;15,4
Ciasto drozdzowe;50;;y;;y;;y;y;Wypieki;Desery;Produkty;290;8;7,7;47,7;1,5;51;139;118;36;83;12;1;0,66;0,06;0,18;85;0,41;1,02;0,081;0,157;0,83;0,04;45;0,22;0
Ciasto kruche podstawowe;50;;y;;y;;y;y;Wypieki;Desery;Produkty;435;23,6;5,5;51,4;1,1;50;26;62;14;44;6;0,6;0,36;0,05;0,12;208;0,92;2,87;0,046;0,057;0,44;0,01;14,3;0,07;0
Ciasto nalesnikowe bez piany;150;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;174;4,2;6,2;28,3;0,8;43;31;102;52;75;9;0,7;0,5;0,04;0,1;33;0,2;0,27;0,058;0,114;0,38;0,04;15,6;0,32;0,4
Ciasto nalesnikowe biszkoptowe;150;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;187;5,9;8,5;25,5;0,7;121;66;138;74;124;12;1,1;0,87;0,05;0,09;87;0,56;0,37;0,064;0,223;0,33;0,06;21,5;0,7;0,5
Cielecina lopatka;;;;;;;;;Cielecina;Mieso i przetwory miesne;Produkty;106;2,8;19,9;0;0;71;87;395;11;199;15;2,9;2,06;0,25;0,03;30;0,3;0,34;0,14;0,4;6,1;0,14;5;1,3;0
Cielecina sznyclowka;;;;;;;;;Cielecina;Mieso i przetwory miesne;Produkty;105;2,4;20,5;0;0;71;68;320;12;198;20;1,7;3,2;0,25;0,03;30;0,2;0,3;0,14;0,27;6;0,4;5;1,3;0
Cielecina udziec;;;;;;;;;Cielecina;Mieso i przetwory miesne;Produkty;108;3,1;19,9;0;0;71;128;246;10;160;16;2,4;2,05;0,2;0,03;30;0,3;0,3;0,18;0,28;6,5;0,3;5;1,3;0
Cielecina w potrawce;150;;;Y;;Y;;Y;Potrawy z cieleciny;Potrawy miesne;Potrawy;104;4,1;13,5;3,9;0,8;45;60;262;15;137;16;1,2;2,12;0,18;0,08;175;0,28;1,09;0,081;0,185;3,98;0,22;9,1;0,82;2,7
Coca cola, pepsi cola;;;;;;;;;;;;42;0;0;10,4;0;0;14;2;8;15;2;0;0,01;0;0,01;0;0;0;0;0;0;0;0;0;0
Cukier;;;;;;;;;;;;405;0;0;99,8;0;0;1;2;1;0;0;0;0,02;0,02;0,01;0;0;0;0;0;0;0;0;0;0
Cukinia;;;;;;;;;;;;15;0,1;1,2;3,2;1;0;3;250;15;32;22;0,4;0,3;0,08;0,16;34;0;0,1;0,07;0,03;0,4;0,09;52;0;9
Cukinia mrozona;;;;;;;;;;;;15;0,1;1,2;3,2;1;0;3;250;15;32;22;0,4;0,3;0,08;0,16;34;0;0,1;0,07;0,03;0,4;0,09;41,6;0;8,1
Cwikla;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;40;0,1;1,6;10,2;2,1;0;42;311;36;19;14;1,4;0,52;0,09;0,37;2;0;0,02;0,014;0,035;0,23;0,03;44;0;7
Cykoria;;;;;;;;;;;;21;0,2;1,7;4,1;1;0;6;237;32;32;15;0,9;0,23;0,17;0,37;264;0;0,1;0,063;0,041;0,3;0,05;52;0;10
Cytryna;;;;;;;;;;;;36;0,3;0,8;9,5;2;0;5;125;40;22;9;0,6;0,08;0,2;0,04;1;0;0,19;0,04;0,023;0,1;0,08;12;0;50
Czarne jagody;;;;;;;;;;;;45;0,6;0,8;12,2;3,2;0;1;62;15;14;2;0,7;0,45;0,11;0,84;6;0;1,88;0,018;0,018;0,28;0,06;6;0;14,7
Czarne jagody mrozone;;;;;;;;;;;;45;0,6;0,8;12,2;3,2;0;1;62;15;14;2;0,7;0,45;0,11;0,84;6;0;1,88;0,018;0,018;0,28;0,06;5;0;13,2
Czekolada biala;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;578;38,4;7,7;51;0;5;105;409;304;220;32;0,4;0,93;0,08;0,05;2;0;0,06;0,085;0,392;0,27;0,1;10,8;0,56;1,4
Czekolada deserowa;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;531;28,9;5,3;64;1,4;0;3;456;33;191;129;1,7;1,91;0,13;0,6;3;0;0,19;0,035;0,011;0,36;0,03;10;0;0
Czekolada gorzka;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;554;34,3;6,7;56,6;1,7;0;4;581;42;244;165;2,1;2,43;0,16;0,77;4;0;0,24;0,044;0,013;0,46;0,04;10;0;0
Czekolada kawowa;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;526;29;5,5;62,7;1,8;0;5;498;36;194;134;1,8;1,91;0,15;0,6;3;0;0,25;0,036;0,015;0,69;0,03;7;0;0
Czekolada mleczna;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;549;32,8;9,8;54,7;0,7;29;95;607;294;302;97;1,2;1,83;0,13;0,38;53;0,06;0,23;0,094;0,358;0,43;0,11;10;0,49;1,4
Czekolada mleczna z orzechami laskowymi;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;539;30,9;8,6;57,3;0,4;17;100;474;300;248;54;0,7;1,24;0,12;0,25;29;0,03;1,04;0,093;0,375;0,33;0,12;12;0,47;1,5
Czekolada nadziewana;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;450;17,6;3,9;68,8;0,3;0;25;226;58;142;70;3,7;1,18;0,49;0,62;13;0,03;0,25;0,04;0,169;0,39;0,03;10;0,47;0
Czekolada smietankowa z orzechami laskowymi;50;;y;;y;;y;y;Slodycze;Przekaski;Produkty;585;42,3;8,6;45,7;2,3;22;90;497;222;273;81;1,4;1,63;0,32;1,06;25;0,16;8,35;0,106;0,044;0,4;0,17;25;0,8;0,6
Czeresnie;75;y;y;;y;;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;61;0,3;1;14,6;1,3;0;2;202;13;16;7;0,3;0,15;0,05;0,02;12;0;0,13;0,041;0,049;0,33;0,05;6;0;15
Czosnek;;;;;;;;;;;;146;0,5;6,4;32,6;4,1;0;17;400;41;153;25;1,7;1;0,26;0,46;0;0;0,01;0,2;0,11;0,7;0,13;5;0;31
Daktyle suszone;;;;;;;;;;;;277;0,4;2;74;8,7;0;35;688;70;58;54;2;0,33;0,2;0,15;7;0;0,3;0,09;0,1;2,2;0,19;20;0;3
Delicje szampanskie;;;;;;;;;;;;327;11,2;4,1;52,8;0,7;38;133;347;36;89;33;1,9;0,42;0,12;0,13;32;0,16;0,7;0,04;0,209;0,39;0,03;9,1;0,16;1,7
Deser mleczny ryzowo-jablkowy;;;;;;;;;Desery mleczne;Mleko i przetwory mleczne;Produkty;134;3;2,8;23,9;0,3;7;54;124;86;83;8;0,1;0,47;0,02;0,05;32;0,03;0,13;0,032;0,1;0,18;0,06;4,8;0,3;1,2
Deser mleczny ryzowo-waniliowy;;;;;;;;;Desery mleczne;Mleko i przetwory mleczne;Produkty;133;2,9;3;23,5;0,2;9;52;120;84;79;7;0,1;0,43;0,02;0,05;32;0,02;0,12;0,035;0,082;0,17;0,06;4,7;0,3;0,8
Deser twarogowy termizowany kakaowy;;;;;;;;;Sery twarogowe;Mleko i przetwory mleczne;Produkty;156;6,2;13,9;11,2;0,1;22;35;108;77;175;11;0,2;0,75;0,05;0,04;50;0,05;0,011;0,019;0,339;0,16;0,07;18,2;0,64;0
Deser twarogowy termizowany truskawkowy;;;;;;;;;Sery twarogowe;Mleko i przetwory mleczne;Produkty;170;5,8;11;18,3;0,1;21;29;86;66;138;7;0,2;0,63;0,02;0,02;48;0,04;0,11;0,017;0,272;0,14;0,06;14,3;0,51;1,2
Dorsz pulpety;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;112;2,6;14,3;8,7;1;60;132;348;17;140;28;0,9;0,64;0,08;0,12;159;0,85;0,52;0,053;0,073;1,59;0,15;14,2;0,83;3,3
Dorsz swiezy;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;78;0,7;17,7;0;0;50;72;356;9;184;25;0,4;0,5;0,05;0,02;7;1;0,44;0,055;0,046;2,3;0,2;12;1;2
Dorsz swiezy filet bez skory;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;70;0,3;16,5;0;0;50;89;364;7;145;29;0,6;0,46;0,06;0,01;6;1;0,44;0,065;0,048;2,39;0,2;12;1;1
Dorsz w jarzynach;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;120;5,2;15,6;3,9;1,4;45;109;439;23;149;33;0,8;0,58;0,09;0,11;312;1,2;2,14;0,058;0,068;1,91;0,2;19,1;0,9;7,9
Dorsz wedzony;;;;;;;;;Ryby wedzone;Ryby i przetwory rybne;Produkty;94;0,5;22,1;0;0;50;1170;300;20;262;15;1;0,53;0,06;0,02;4;1;0,2;0,05;0,1;2,5;0,22;6;1;0
Dorsz z rusztu;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;172;9,1;22,1;0,6;0,2;73;91;461;17;231;33;0,6;0,65;0,08;0,03;55;1,28;1,71;0,06;0,065;2,89;0,21;14,4;1,1;7,6
Dorsz, filety panierowane smazone;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;273;15,8;19,2;14,5;0,9;78;167;404;15;186;36;1,1;0,85;0,1;0,17;25;1,13;3,92;0,081;0,102;2,57;0,19;18,2;1,12;1
Dorsz, filety po grecku;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;152;10,8;10,6;4,6;1,2;29;70;338;19;103;25;0,7;0,44;0,08;0,09;194;0,59;2,98;0,05;0,051;1,59;0,15;12,8;0,59;7
Dorsz, kotlet mielony smazony;150;;;Y;;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;260;17,8;15;10,9;0,7;54;144;333;28;149;29;0,8;0,65;0,08;0,12;17;0,84;4,34;0,065;0,092;2;0,15;13,5;0,88;1,3
Drozdze piekarskie prasowane;;;;;;;;;;;;92;2;11,3;14,5;7,4;0;41;592;30;272;61;5;2,79;0,09;1,01;0;0;0,81;0,765;1,058;8,27;0,42;1407;0;0
Dynia;;;;;;;;;;;;28;0,3;1,3;7,7;2,8;0;4;278;66;43;14;0,8;0,38;0,15;0,04;496;0;1,03;0,05;0,12;0,5;0,11;31;0;8
Dynia pestki;;;;;;;;;;;;556;45,8;24,5;18;5,3;0;18;810;43;1170;540;15;7,5;1,57;1;38;0;26;0,21;0,32;1,7;0,1;60;0;0
Dynia z pomidorami;150;Y;Y;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;44;2,4;1,2;6,5;2,1;7;5;269;44;34;11;0,7;0,33;0,11;0,05;322;0,02;1;0,048;0,089;0,66;0,11;16,4;0;10
Dzem ananasowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;157;0,1;0,2;38,6;0,5;0;1;89;7;5;6;0,1;0,1;0,03;0,2;3;0;0,04;0,036;0,016;0,16;0,04;0,9;0;2,5
Dzem brzoskwiniowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;155;0,1;0,5;38,3;0,9;0;2;94;5;11;4;0,3;0,07;0,03;0,06;46;0;0,45;0,01;0,025;0,45;0,01;0,4;0;1,8
Dzem jagodowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;153;0,2;0,3;38,2;1,3;0;1;26;6;6;1;0,3;0,19;0,05;0,34;2;0;0,75;0,007;0,007;0,11;0,02;0,5;0;2,9
Dzem morelowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;157;0,1;0,4;38,8;0,7;0;1;121;10;9;3;0,3;0,07;0,07;0,08;111;0;0,22;0,013;0,022;0,35;0,03;0,4;0;1,4
Dzem pomaranczowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;159;0,1;0,3;39,2;0,6;0;1;56;10;7;4;0,1;0,05;0,03;0,01;6;0;0,06;0,024;0,009;0,06;0,03;1,8;0;7,3
Dzem sliwkowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;153;0,1;0,3;37,9;0,8;0;1;102;8;10;4;0,2;0,06;0,06;0,05;24;0;0,42;0,029;0,019;0,24;0,02;0,3;0;1,3
Dzem sliwkowy wysokoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;251;0,1;0,3;62,1;0,8;0;2;104;8;10;4;0,2;0,07;0,07;0,05;24;0;0,42;0,029;0,019;0,24;0,02;0,3;0;1,3
Dzem truskawkowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;153;0,2;0,3;37,8;0,8;0;1;63;13;12;5;0,3;0,05;0,06;0,11;1;0;0,06;0,013;0,03;0,13;0,03;1,6;0;11,4
Dzem truskawkowy niskoslodzony z witamina C;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;153;0,2;0,3;37,8;0,8;0;1;63;13;12;5;0,3;0,05;0,06;0,11;1;0;0,06;0,013;0,03;0,13;0,03;1,6;0;25
Dzem truskawkowy wysokoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;252;0,2;0,3;62,3;0,9;0;1;64;13;12;5;0,3;0,05;0,06;0,11;1;0;0,06;0,013;0,031;0,13;0,03;1,6;0;11,5
Dzem wisniowy niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;154;0,2;0,4;37,5;0,4;0;2;68;6;9;4;0,1;0,05;0,06;0,02;18;0;0,06;0,022;0,027;0,18;0,01;0,7;0;2,7
Dzem wisniowy wysokoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;252;0,2;0,4;61,7;0,5;0;2;72;7;10;4;0,1;0,06;0,07;0,02;19;0;0,06;0,023;0,028;0,19;0,01;0,8;0;2,8
Dzem z czarnych porzeczek niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;152;0,1;0,5;39,6;2,8;0;1;119;14;20;7;0,4;0,12;0,05;0,26;5;0;0,35;0,022;0,011;0,12;0,03;1,1;0;29,3
Dzem z czarnych porzeczek wysokoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;251;0,1;0,5;63,9;2,8;0;1;120;14;21;7;0,4;0,13;0,05;0,27;5;0;0,36;0,022;0,011;0,12;0,03;1,1;0;32,3
Dzem z owocow kiwi niskoslodzony;50;y;;;;;;y;dzemy, konfitury, marmolady, powidla;owoce i przetwory owocowe;Produkty;154;0,2;0,4;37,8;0,8;0;2;114;10;13;6;0,2;0,05;0,06;0,04;3;0;0,08;0,008;0,02;0,2;0,06;3;0;9,5
Eklery z bita smietana;;;;;;;;;;;;326;18;5,9;35,5;0,4;135;60;100;44;89;8;0,9;0,68;0,05;0,06;201;0,94;1,62;0,037;0,199;0,21;0,04;14,2;0,47;0
Fasola biala nasiona suche;;;;;;;;;;;;288;1,6;21,4;61,6;15,7;0;19;1188;163;437;169;6,9;3,77;0,48;2;0;0;0,2;0,67;0,23;2,2;0,53;187;0;2
Fasola cieta konserwowa bez zalewy;;;;;;;;;;;;16;0,2;1,5;4,5;2,4;0;256;124;43;22;12;1,3;0,29;0,07;0,18;43;0;0,16;0,021;0,039;0,19;0,03;13;0;2,6
Fasola mung kielki;;;;;;;;;;;;29;0,4;3;6,2;3;0;2;132;13;45;17;0,7;0,47;0,1;0,12;2;0;0,2;0,08;0,12;0,07;0,09;61;0;13
Fasola po bretonsku;200;;Y;Y;Y;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;141;6,6;8;15,9;3,6;9;152;332;41;128;42;1,9;1,29;0,13;0,47;39;0,31;1,21;0,16;0,077;1,13;0,14;24,2;0,11;1,1
Fasola szparagowa;;;;;;;;;;;;27;0,2;2,4;7,6;3,9;0;6;264;65;44;22;1,1;0,61;0,1;0,22;63;0;0,28;0,08;0,11;0,5;0,16;70;0;23,8
Fasola szparagowa gotowana, z maslem;100;;Y;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;97;6,9;2,9;10,3;4,3;20;21;288;71;52;25;1,2;0,7;0,11;0,26;118;0,07;0,46;0,061;0,095;0,38;0,12;46,1;0;14,1
Fasolka flageolet konserwowa;;;;;;;;;przetwory warzywne;warzywa i przetwory warzywne;Produkty;61;0,2;6,3;15;6,7;0;291;299;56;125;36;1,9;0,62;0,18;0,36;14;0;0,15;0,066;0,041;0,86;0,18;53;0;3,7
Fasolka szparagowa mrozona;;;;;;;;;;;;24;0,2;2,2;6,8;3,5;0;5;214;53;36;18;0,9;0,49;0,08;0,18;57;0;0,25;0,065;0,089;0,41;0,13;60,2;0;15
Faworki luksusowe;;;;;;;;;;;;511;31,6;8,8;49,5;1,2;223;29;99;46;148;9;1,9;1,01;0,07;0,14;205;1;1,36;0,075;0,209;0,48;0,08;28,1;0,79;0
Figi suszone;50;y;y;;y;y;y;y;owoce suszone;owoce i przetwory owocowe;Produkty;290;1,2;3,6;78;12,9;0;44;938;203;122;78;3,3;0,94;0,35;0,38;13;0;0,3;0,12;0,09;1,5;0,22;8;0;2,5
Fladra swieza;;;;;;;;;;;;83;1,8;16,5;0;0;58;92;332;27;200;24;0,4;0,5;0,05;0,04;9;0,8;0,36;0,22;0,21;3,4;0,25;11;1,2;0
Flaki;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;84;2,2;16;0;0;95;64;137;71;61;11;0,6;2,75;0,08;0,02;0;0;0,12;0,052;0,082;0,95;0,02;3;0;0
Galaretka z nozek wieprzowych;100;;;Y;;Y;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;202;14,9;16,9;0,8;0,4;44;121;121;21;82;10;1,6;1,98;0,26;0,06;81;0,44;0,32;0,01;0,048;0,97;0,2;4,6;0,51;1,3
Ges tuszka;;;;;;;;;Ges;Mieso i przetwory miesne;Produkty;339;31,8;14,1;0;0;80;48;243;5;152;18;2,4;1,66;0,17;0,02;30;1,4;0,2;0,12;0,033;6,4;0,58;5;0,3;0
Gladzica-plastuga swieza;;;;;;;;;;;;86;1,9;17,1;0;0;60;104;311;61;198;22;0,6;0,5;0,05;0,03;6;0,8;0,36;0,21;0,22;4;0,22;11;1,5;1
Golabki z miesem i ryzem w sosie pomidorowym;150;;Y;Y;Y;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;108;6,7;3,6;10;1,7;14;20;200;38;51;11;0,4;0,72;0,04;0,2;47;0,1;1,25;0,097;0,069;0,69;0,09;20,1;0,1;22,6
Grejpfrut;50;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;36;0,2;0,6;9,8;1,9;0;2;277;22;18;12;0,2;0,19;0,07;0,01;3;0;0,29;0,04;0,02;0,2;0,03;11;0;40
Groch nasiona suche;;;;;;;;;;;;293;1,4;23,8;60,2;15;0;30;937;57;388;124;4,7;4,2;0,5;2,03;20;0;0,3;0,77;0,28;3,1;0,3;151;0;2
