0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;;;;;;;;;;;;;;;;;;;;;
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Blonnik pokarmowy;Cholesterol;Sod;Potas;Wapn;Fosfor;Magnez;Zelazo;Cynk;Miedz;Mangan;Wit A;Wit D;Wit E;Tiamina;Ryboflawina;Niacyna;Wit B6;Foliany;Wit B12;Wit C
"Baton ""Twix""";50;;Y;;Y;;Y;Y;slodycze;Przekaski;Produkty;483;23,2;5,3;64,2;1;5;170;159;109;96;24;1,3;0,5;0,2;0,22;2;0,3;0,2;0,1;0,1;0,3;0,1;10;0;0
Baton szynkowy z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;143;9,3;14,9;0,1;0;69;826;304;8;204;30;0,9;1,67;0,06;0,02;21;0,16;0,15;0,04;0,179;4,7;0,3;10;0,95;2
Baton z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;144;8,6;16,7;0,1;0;66;753;283;43;194;29;1,1;0,76;0,07;0,04;9;0,18;0,26;0,066;0,152;6,76;0,33;6;0,32;0
Befsztyk bity wiejski smazony;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;258;19,6;19,4;1,6;0,2;87;40;372;19;208;25;3,3;3,21;0,1;0,04;31;0,71;1,82;0,071;0,262;4,82;0,25;8,2;1,6;0,6
Befsztyk tatarski;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;195;12,3;18,4;3,4;0,5;215;197;340;40;266;36;3,1;3,47;0,11;0,11;136;1,12;1,54;0,089;0,33;4,09;0,33;37,6;1,87;1,1
"Bezy z kremem ""Sokoly""";50;;Y;;Y;;Y;Y;slodycze;Desery;Produkty;444;19,6;7,1;60,8;1,4;42;81;213;22;65;27;1;0,56;0,14;0,18;153;0,75;2,87;0,067;0,18;1,68;0,04;11,5;0,13;0,1
Bialko jaja kurzego;;;;;;;;;Jaja;Mleko i przetwory mleczne;Produkty;49;0,2;10,9;0,7;0;0;200;154;6;17;11;0,2;0,3;0,03;0,01;0;0;0;0,006;0,429;0,07;0,01;20;0,1;0
Bigos popularny;150;;;Y;;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;119;9,9;5,1;3,8;1,2;18;170;191;28;54;10;0,6;0,88;0,04;0,1;15;0,25;1,04;0,087;0,095;0,73;0,12;4;0,19;3,2
Bitki wieprzowe duszone;150;;;Y;;;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;195;16,1;10,4;2,6;0,1;45;36;177;4;102;12;0,7;1,99;0,03;0,02;20;0,59;0,97;0,296;0,176;1,96;0,15;2,1;0,44;0
Bitki wieprzowe w jarzynach duszone;150;;;Y;;;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;200;16,1;10,7;4,3;0,9;45;51;238;12;114;16;0,9;2,09;0,05;0,07;151;0,59;1,08;0,306;0,191;2,11;0,18;6,8;0,44;2,2
Bitki wolowe duszone;150;;;Y;;;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;103;4,4;13,6;2,3;0,1;38;53;242;3;132;16;1,5;2,41;0,05;0,03;24;0,38;0,77;0,042;0,143;3,49;0,21;4,5;0,89;0
Bitki wolowe w jarzynach duszone;150;;;Y;;;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;117;4,5;14,3;6,6;2;38;87;389;21;154;25;1,8;2,61;0,1;0,17;487;0,38;1,13;0,066;0,174;3,89;0,27;22;0,89;6,7
Bliny ziemniaczane;200;;;Y;;;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;257;16,3;5,7;23,4;1,4;68;100;371;59;114;25;1;0,76;0,09;0,2;51;0,25;0,36;0,095;0,203;1,26;0,21;50,6;0,37;8,6
Bob;;;;;;;;;;;;66;0,4;7,1;14;5,8;0;7;261;60;57;24;1,9;1,62;0,1;0,39;28;0;0,46;0,09;0,06;3,2;0,06;145;0;32
Bob mrozony;;;;;;;;;;;;63;0,4;6,8;13,4;5,6;0;6;226;52;49;21;1,6;1,4;0,09;0,34;27;0;0,44;0,078;0,052;2,77;0,05;139,2;0;21,5
Bocwina;;;;;;;;;;;;17;0,5;2,1;5,5;4,4;0;56;548;97;36;43;2,2;1;0,18;0,26;670;0;1,66;0,08;0,08;0,4;0,1;38;0;34
Boeuf Strogonow duszony;200;;;;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;220;14,3;19,6;3,7;0,2;65;60;341;21;178;23;2,2;2,51;0,07;0,03;22;0,53;1,93;0,061;0,187;5,94;0,33;5,5;1,25;0,8
Brokuly;150;Y;Y;Y;Y;Y;Y;Y;Warzywa gotowane;warzywa i przetwory warzywne;Potrawy;27;0,4;3;5,2;2,5;0;7;385;48;66;23;0,9;0,4;0,03;0,53;153;0;1,3;0,07;0,12;0,6;0,16;119;0;83
Brokuly mrozone;;;;;;;;;;;;24;0,4;2,7;4,7;2,3;0;6;312;39;53;19;0,7;0,32;0,02;0,43;138;0;1,17;0,057;0,097;0,49;0,13;95,2;0;52,3
Brukselka;;;;;;;;;;;;37;0,5;4,7;8,7;5,4;0;10;416;57;33;21;0,9;0,86;0,07;0,45;74;0;0,88;0,08;0,16;0,7;0,28;130;0;94
Brukselka mrozona;;;;;;;;;;;;36;0,5;4,5;8,4;5,2;0;9;359;49;29;18;0,8;0,74;0,06;0,39;71;0;0,84;0,069;0,138;0,6;0,24;111,8;0;63,2
