0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Cost;Prep t;id
Galaretka z nozek wieprzowych;100;;;Y;;Y;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;202;14,9;16,9;0,8;35;80;209
Ges tuszka;;;;;;;;;Ges;Mieso i przetwory miesne;Produkty;339;31,8;14,1;0;6;80;210
Gladzica-plastuga swieza;;;;;;;;;;;;86;1,9;17,1;0;35;10;211
Golabki z miesem i ryzem w sosie pomidorowym;150;;Y;Y;Y;Y;;Y;Potrawy warzywno-miesne;Potrawy warzywno-miesne;Potrawy;108;6,7;3,6;10;27;40;212
Grejpfrut;50;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;36;0,2;0,6;9,8;11;30;213
Groch nasiona suche;;;;;;;;;;;;293;1,4;23,8;60,2;26;20;214
Groszek ptysiowy;;;;;;;;;;;;476;30,2;14,9;37,6;29;50;215
Groszek zielony;;;;;;;;;;;;75;0,4;6,7;17;24;60;216
Groszek zielony gotowany, z maslem;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;100;6,8;3,7;9,3;33;10;217
Groszek zielony konserwowy bez zalewy;;;;;;;;;;;;63;0,2;4,9;15,8;27;100;218
Groszek zielony mrozony;;;;;;;;;;;;72;0,4;6,4;16,3;13;50;219
Gruszka;50;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;54;0,2;0,6;14,4;28;20;220
Gruszki w sosie waniliowym;150;Y;Y;Y;Y;Y;;Y;Desery;Desery;Potrawy;152;1,1;1,6;34,8;14;100;221
Gujawa;;;;;;;;;;;;38;0,6;0,8;11,9;27;100;222
Gulasz wolowy duszony;150;;;Y;;Y;;Y;Potrawy z wolowiny;Potrawy miesne;Potrawy;148;9,2;14,1;2,6;31;30;223
Halibut bialy swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;98;1,9;20,1;0;29;100;224
Herbata napar bez cukru;;;;;;;;;;;;0;0;0,1;0;16;10;225
Herbatniki;;;;;;;;;;;;437;11;8,2;76,8;22;80;226
"Herbatniki ""Corso""";;;;;;;;;;;;440;17,2;5;67,1;17;30;227
Herbatniki kakaowe;;;;;;;;;;;;474;22,3;6,9;62,9;10;20;228
Herbatniki kokosowe;;;;;;;;;;;;474;25,2;6,4;59,8;6;90;229
Herbatniki sezamowe;;;;;;;;;;;;503;28,6;8,1;55,7;10;50;230
Herbatniki w czekoladzie;;;;;;;;;;;;489;24;6,3;63,1;22;10;231
Herbatniki w czekoladzie z orzechami;;;;;;;;;;;;492;23,7;6;64,7;35;80;232
Herbatniki z cukrem;;;;;;;;;;;;460;17,2;6,7;70,7;20;20;233
Herbatniki z czekolada;;;;;;;;;;;;493;25,5;5,9;61,2;14;50;234
Herbatniki z nadzieniem czekoladowym;;;;;;;;;;;;497;27,9;5,5;57,3;18;90;235
Herbatniki z nadzieniem owocowym;;;;;;;;;;;;390;16,1;3,8;58,6;35;90;236
Indyk tuszka;;;;;;;;;Indyk;Mieso i przetwory miesne;Produkty;129;6,8;17;0;14;80;237
Irysy, krowki;;;;;;;;;;;;421;10,7;4,3;76,1;17;20;238
Jablecznik ze swiezych jablek;;;;;;;;;;;;318;9,3;3,4;56,8;6;40;239
Jablka pieczone;100;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;93;1,6;0,3;20,8;20;60;240
Jablka suszone;50;y;y;;y;y;y;y;owoce suszone;owoce i przetwory owocowe;Produkty;238;2,1;2,1;62,3;19;50;241
Jablka w ciescie francuskim;;;;;;;;;;;;397;22,7;4,4;46,1;12;20;242
Jablka w kruchym ciescie;100;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;348;17,4;4,4;45;25;40;243
Jablko;50;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;46;0,4;0,4;12,1;34;60;244
Jagodzianki;;;;;;;;;;;;316;5,2;7,4;61;21;100;245
Jaja gotowane;100;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;109;7,6;9,8;0,5;33;20;246
Jaja kurze cale;;;;;;;;;Jaja;Mleko i przetwory mleczne;Produkty;139;9,7;12,5;0,6;31;100;247
Jaja sadzone;100;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;168;14,2;9,9;0,6;19;80;248
Jajecznica;150;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;119;8,7;9,8;0,5;23;100;249
Jarmuz;100;Y;Y;;Y;Y;y;y;Warzywa;warzywa i przetwory warzywne;Produkty;29;0,7;3,3;6,1;33;30;250
Jogurt bananowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;70;1,5;3,7;10,4;18;40;251
Jogurt jagodowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;62;1,5;3,7;8,8;33;30;252
Jogurt morelowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;63;1,5;3,7;8,9;25;80;253
Jogurt naturalny 2% tluszczu;;;;;;;;;;;;60;2;4,3;6,2;34;70;254
Jogurt truskawkowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;60;1,5;3,7;8,2;32;100;255
Jogurt wisniowy 1,5% tluszczu;100;Y;Y;;Y;Y;;Y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;61;1,5;3,7;8,2;16;20;256
Kabanosy;50;y;y;y;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;326;24,3;27,4;0;6;100;257
Kabanosy z kurczaka;50;y;y;y;y;y;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;247;17,4;22,8;0,1;25;70;258
Kaczka tuszka;;;;;;;;;Kaczka;Mieso i przetwory miesne;Produkty;308;28,6;13,5;0;8;10;259
Kajzerki;50;Y;Y;Y;Y;Y;;Y;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;296;3,6;8,4;58,6;35;90;260
Kakao 16% proszek;;;;;;;;;;;;448;21,7;18,2;50,6;14;90;261
Kakao rozpuszczalne z witaminami;30;Y;Y;;Y;;y;y;Napoje mleczne;Mleko i przetwory mleczne;;404;3,1;3,8;89,8;14;70;262
Kalafior;;;;;;;;;;;;22;0,2;2,4;5;28;90;263
Kalafior gotowany, z maslem;100;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;83;6,8;2;5,5;13;100;264
Kalafior mrozony;;;;;;;;;;;;20;0,2;2,2;4,5;12;20;265
Kalarepa;;;;;;;;;;;;29;0,3;2,2;6,5;25;30;266
Kalarepa mrozona;;;;;;;;;;;;27;0,3;2;5,9;16;30;267
Kapusniak mrozony;200;;;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;35;0,2;1,4;9;6;50;268
Kapusniak z kwaszonej kapusty;200;;;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;22;1,2;1,5;1,7;34;30;269
Kapusniak ze slodkiej kapusty;200;;;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;32;2,1;0,7;3,2;8;90;270
Kapusta biala;;;;;;;;;;;;29;0,2;1,7;7,4;30;20;271
Kapusta biala gotowana, zasmazana;100;;;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;69;4,7;1,6;7,1;8;70;272
Kapusta biala mrozona;;;;;;;;;;;;26;0,2;1,5;6,7;29;30;273
Kapusta czerwona;75;y;y;y;y;y;y;y;Warzywa ;warzywa i przetwory warzywne;Produkty;27;0,2;1,9;6,7;12;90;274
Kapusta kwaszona;75;y;y;y;y;y;y;y;Warzywa ;warzywa i przetwory warzywne;Produkty;12;0,2;1,1;3,4;25;40;275
Kapusta pekinska;75;y;y;y;y;y;y;y;Warzywa ;warzywa i przetwory warzywne;Produkty;12;0,2;1,2;3,2;25;40;276
Kapusta wloska;;;;;;;;;;;;38;0,4;3,3;7,8;33;80;277
Kapusta wloska mrozona;;;;;;;;;;;;35;0,4;3;7;20;80;278
Karmelki nadziewane;;;;;;;;;;;;378;0,5;0,3;92;14;80;279
Karmelki nadziewane z witaminami;;;;;;;;;;;;378;0,5;0,3;92;21;80;280
Karmelki twarde;;;;;;;;;;;;399;0;0;98,2;21;80;281
Karmelki twarde z witamina C;;;;;;;;;;;;399;0;0;98,2;25;90;282
Karp swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;110;4,2;18;0;34;100;283
Karp w galarecie z warzywami;150;;Y;Y;Y;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;137;2,9;26,1;2,1;23;100;284
Karp z wody;150;;;Y;Y;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;102;3,7;16;2;25;50;285
Kasza gryczana;;;;;;;;;Kasze;Produkty zbozowe;Produkty;336;3,1;12,6;69,3;16;10;286
Kasza gryczana na sypko z tluszczem roslinnym;75;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;132;2,3;4,5;25;15;30;287
Kasza gryczana na sypko ze smalcem;75;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;138;2,9;4,8;25;5;60;288
Kasza jaglana;;;;;;;;;Kasze;Produkty zbozowe;Produkty;346;2,9;10,5;71,6;5;40;289
Kasza jeczmienna na mleku;75;Y;Y;Y;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;63;2,2;2,6;8,5;26;20;290
Kasza jeczmienna peczak;;;;;;;;;Kasze;Produkty zbozowe;Produkty;334;2;8,4;74,9;11;40;291
Kasza jeczmienna perlowa;;;;;;;;;Kasze;Produkty zbozowe;Produkty;327;2,2;6,9;75;29;90;292
Kasza manna;;;;;;;;;Kasze;Produkty zbozowe;Produkty;348;1,3;8,7;76,7;9;20;293
Kasza manna na mleku;75;Y;Y;Y;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;67;2,1;2,7;9,3;18;100;294
Kasza manna na wywarze jarzynowym;;;;;;;;;;;;21;0,8;0,5;3,4;31;90;295
Kasza perlowa na sypko z tluszczem roslinnym;75;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;114;2;2,2;23,6;28;100;296
Kasza perlowa na sypko ze smalcem;75;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;119;2,5;2,2;23,6;15;90;297
Kaszanka z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;204;11,7;9,8;16,4;24;50;298
Kawa napar bez cukru;;;;;;;;;;;;2;0;0,2;0,3;32;30;299
Kefir 2% tluszczu;75;y;y;;y;y;;y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;51;2;3,4;4,7;24;90;300
Kefir 2% tluszczu z wapniem;75;y;y;;y;y;;y;Napoje mleczne;Mleko i przetwory mleczne;Produkty;51;2;3,4;4,7;27;90;301
Keks bakaliowy;;;;;;;;;;;;385;17,5;6,5;53,7;21;40;302
Kielbasa delikatesowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;109;3,3;19,6;0,1;35;30;303
Kielbasa domowa;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;320;29,2;14,7;0,5;28;60;304
Kielbasa jalowcowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;236;17,9;19;0,1;16;20;305
Kielbasa kanapkowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;179;13,5;11,8;3;32;50;306
Kielbasa krakowska sucha;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;323;24,8;25,6;0;10;100;307
Kielbasa lubuska;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;249;18;17,5;4,8;34;80;308
Kielbasa mazurska z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;129;7,7;14,8;0,1;34;40;309
Kielbasa mortadela;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;205;17,7;12;0;6;50;310
Kielbasa mortadela z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;209;18,5;11;0,1;27;10;311
Kielbasa mysliwska sucha;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;291;20,1;27,8;0;27;60;312
Kielbasa parowkowa;100;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;323;31,5;11;0;23;50;313
Kielbasa podlaska z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;232;16,7;20,7;0,1;11;20;314
Kielbasa podsuszana z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;162;8,4;21,7;0;15;10;315
Kielbasa podwawelska;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;247;19,6;17,3;0,9;32;50;316
Kielbasa rzeszowska;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;203;13,4;20,9;0;26;50;317
Kielbasa slaska;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;210;15,3;18,4;0;13;80;318
Kielbasa szynkowa z indyka;;;;;;;;;Wedliny z indyka;Mieso i przetwory miesne;Produkty;88;2;17,2;0,2;26;50;319
Kielbasa szynkowa z kurczaka;;;;;;;;;Wedliny z kurczaka;Mieso i przetwory miesne;Produkty;110;5;16,2;0;15;10;320
Kielbasa torunska;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;263;20,1;20,9;0;10;10;321
Kielbasa zwyczajna;75;y;y;;y;y;;y;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;209;15,6;17,6;0;5;100;322
Kielbasa zywiecka;;;;;;;;;Wedliny wieprzowe, wolowe i mieszane;Mieso i przetwory miesne;Produkty;315;26,3;20,3;0;21;40;323
Kielbaski bawarskie;;;;;;;;;;;;308;27,7;15,5;0,1;12;90;324
Kisiel porzeczkowy;150;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;98;0,1;0,3;25,7;23;80;325
Kisiel w proszku;;;;;;;;;;;;377;0;0,2;92,7;18;40;326
Kisiel waniliowy (budyn);150;Y;Y;;Y;Y;;Y;Desery;Desery;Potrawy;121;4,5;3,3;16,6;29;30;327
Kiszka kaszana jeczmienna;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;195;12,6;8,5;13;35;50;328
Kiszka krwista;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;404;35;14,2;9,2;28;70;329
Kiszka pasztetowa;;;;;;;;;Wedliny podrobowe;Mieso i przetwory miesne;Produkty;384;35,7;12,5;4,3;25;70;330
Kiwi;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;56;0,5;0,9;13,9;23;40;331
Klopsiki cielece mielone duszone;150;;Y;Y;Y;Y;;Y;Potrawy z cieleciny;Potrawy miesne;Potrawy;250;14,6;16,3;14,2;8;10;332
Klopsiki mielone z miesa mieszanego duszone;150;;Y;Y;Y;Y;;Y;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;272;17,5;13,7;15,7;15;50;333
Kluski kladzione;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;165;1,3;5,5;33,3;33;90;334
Kluski lane;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;93;2;4,3;14,8;22;30;335
Kluski lane na mleku;150;;Y;Y;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;69;3,1;3,6;6,8;23;100;336
Kluski slaskie;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;169;3,8;2,6;32,1;13;10;337
Knedle ze sliwkami;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;162;5,9;2,8;25,7;15;20;338
Kompot z jablek;200;Y;Y;Y;Y;Y;;Y;Desery;Desery;Potrawy;51;0,1;0,2;13,2;11;80;339
Kompot z wisni;200;Y;Y;Y;Y;Y;;Y;Desery;Desery;Potrawy;69;0,1;0,2;16,9;33;90;340
Koncentrat pomidorowy 30%;;;;;;;;;;;;92;1,5;5,6;16,7;25;20;341
Konina mieso bez kosci;;;;;;;;;Konina;Mieso i przetwory miesne;Produkty;109;2,5;21,5;0;8;100;342
Konina mieso z koscia;;;;;;;;;Konina;Mieso i przetwory miesne;Produkty;109;2,5;21,5;0;13;10;343
Koper ogrodowy;;;;;;;;;;;;26;0,4;2,8;6,1;21;60;344
Kopytka;100;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;0,7;4,2;32,1;30;20;345
Kopytka z maslem;100;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;151;1,5;3,8;31,6;34;90;346
Kosci wywar;;;;;;;;;Podroby;Mieso i przetwory miesne;Produkty;5;0;1,2;0;27;90;347
Kotlet cielecy panierowany smazony;150;;;Y;;Y;;Y;Potrawy z cieleciny;Potrawy miesne;Potrawy;364;21,3;27,1;17,4;24;90;348
Kotlet mielony z kury, smazony;150;;;Y;;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;382;27,8;20;14,2;31;10;349
Kotlet mielony z miesa mieszanego smazony;150;;;Y;;Y;;Y;Potrawy z miesa mieszanego;Potrawy miesne;Potrawy;285;21,1;13,1;11,7;33;100;350
Kotlet schabowy panierowany smazony;150;;;Y;;Y;;Y;Potrawy z wieprzowiny;Potrawy miesne;Potrawy;351;24,1;19,1;15,9;22;50;351
Kotlety z jaj, smazone;150;Y;Y;Y;Y;Y;;Y;Potrawy z jaj;Potrawy z jaj;Potrawy;276;22,8;8,1;10,8;25;90;352
Kotlety z kurczaka panierowane smazone;150;;Y;Y;Y;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;249;15,8;19,8;7,6;11;10;353
Kotlety z kurczaka saute smazone;150;;Y;Y;Y;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;241;16,5;20,3;3,2;8;60;354
Kotlety ziemniaczane;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;12,8;4,4;29,3;19;30;355
Krem z zielonego groszku;150;Y;Y;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;64;3,8;3,1;5,9;20;30;356
Krolik tuszka;;;;;;;;;Krolik;Mieso i przetwory miesne;Produkty;156;8;21;0;9;20;357
Krupnik z kaszy gryczanej;200;Y;Y;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;43;1,2;1,7;7,2;17;50;358
Krupnik z kaszy jeczmiennej;200;Y;Y;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;40;0,9;1,5;7,4;14;70;359
Krupnik z ryzu;200;Y;Y;Y;Y;Y;;Y;Zupy;Zupy;Potrawy;43;1,1;1,5;7,6;21;30;360
Kukurydza kolby;;;;;;;;;;;;110;1,5;3,7;23,4;24;90;361
Kukurydza kolby mrozona;;;;;;;;;;;;105;1,4;3,6;22,5;14;10;362
Kukurydza konserwowa;;;;;;;;;;;;102;1,2;2,9;23,6;32;20;363
Kulebiak;200;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;222;12,7;7,8;19,9;20;60;364
Kura tuszka;;;;;;;;;Kura i kurczak;Mieso i przetwory miesne;Produkty;202;14,3;18,5;0;35;80;365
Kura w galarecie;100;Y;Y;Y;Y;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;192;8,8;27,3;1,2;24;100;366
Kurczak faszerowany pieczony;;;;;;;;;;;;199;11,9;20,5;2,8;28;100;367
Kurczak tuszka;;;;;;;;;;;;158;9,3;18,6;0;11;10;368
Kurczak w jarzynach gotowany;150;;;Y;;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;99;6,4;7,6;4,6;30;20;369
Kurczeta pieczone;150;;;Y;;Y;;Y;Potrawy drobiowe;Potrawy miesne;Potrawy;179;12,7;16,4;0,1;31;30;370
Lazanki z biala kapusta;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;147;6,9;3,7;18,9;7;80;371
Lemoniada;;;;;;;;;;;;24;0;0;5,8;7;60;372
Len nasiona;;;;;;;;;;;;500;31;24,5;35;5;80;373
Leniwe pierogi z sera twarogowego;150;;;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;242;13,9;14,6;15;12;10;374
Leniwe pierogi z sera twarogowego i ziemniakow;150;;;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;220;10,1;12,9;20;29;50;375
Lody mleczno-owocowe;150;;Y;;Y;;;Y;Lody mleczno-owocowe;Mleko i przetwory mleczne;Produkty;116;2,5;3,9;19,4;22;90;376
Lody smietankowe;;;;;;;;;Lody smietankowe;Mleko i przetwory mleczne;Produkty;160;8,5;3,2;17,6;15;80;377
Losos saute smazony;150;;Y;Y;Y;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;380;31,4;21,2;4;14;40;378
Losos swiezy;;;;;;;;;Ryby swieze;Ryby i przetwory rybne;Produkty;201;13,6;19,9;0;15;80;379
Losos wedzony;;;;;;;;;Ryby wedzone;Ryby i przetwory rybne;Produkty;162;8,4;21,5;0;14;40;380
Losos z rusztu;150;;Y;Y;Y;Y;;Y;Potrawy rybne;Potrawy rybne;Potrawy;283;22,3;20,7;0,6;29;40;381
Majonez domowy z olejem rzepakowym;;;;;;;;;;;;714;79;1,3;2,6;29;60;382
Majonez domowy z olejem slonecznikowym;;;;;;;;;;;;714;79;1,3;2,6;23;10;383
Mak niebieski;;;;;;;;;;;;478;42,9;20,1;24,7;25;70;384
Maka kukurydziana;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;337;3;5,9;78;7;100;385
Maka pszenna typ 1850;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;309;2,3;11,9;70;33;40;386
Maka pszenna typ 500;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;343;1,2;10,1;74;12;50;387
Maka pszenna typ 500 z witaminami;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;343;1,2;10,1;74;35;80;388
Maka pszenna typ 550;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;344;1,6;10,5;73;24;20;389
Maka pszenna typ 550 z witaminami;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;344;1,6;10,5;73;30;60;390
Maka pszenna typ 750;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;341;1,8;11,6;71,3;13;20;391
Maka ryzowa;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;348;0,7;7,2;79,2;13;60;392
Maka sojowa pelnotlusta;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;424;23,5;45;20,1;23;80;393
Maka zytnia typ 1400;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;310;2,2;7,1;75,3;17;60;394
Maka zytnia typ 2000;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;301;2,2;8,1;74;27;20;395
Maka zytnia typ 580;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;330;1,5;5,1;78,5;24;60;396
Maka zytnia typ 720;;;;;;;;;Ziarna, maki i skrobie;Produkty zbozowe;Produkty;327;1,7;5,9;77,4;10;60;397
Makaron bezjajeczny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;364;1,6;11;77,6;17;100;398
Makaron bezjajeczny z semoliny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;367;1,4;10,7;79,4;25;50;399
Makaron czterojajeczny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;391;3,4;13,2;78,3;6;90;400
Makaron dwujajeczny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;373;2,6;12;76,8;11;40;401
Makaron dwujajeczny z semoliny;;;;;;;;;Makarony;Produkty zbozowe;Produkty;374;2,4;11,9;77,8;28;80;402
Makaron gotowany;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;108;0,7;3,5;22,1;21;30;403
Makaron na mleku;150;Y;Y;Y;Y;Y;;Y;Zupy mleczne;Zupy;Potrawy;65;2,2;2,9;8,6;22;70;404
Makaron z maslem, gotowany;150;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;126;1,8;3,8;24,2;20;30;405
Makaron z serem twarogowym i maslem;150;Y;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;141;5,2;6,5;17,3;32;90;406
Makaron zapiekany z biala kapusta;150;;Y;Y;Y;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;138;5,2;3,7;21,2;21;80;407
Makrela swieza;;;;;;;;;;;;181;11,9;18,7;0;26;60;408
Makrela wedzona;100;y;y;y;y;y;;y;Ryby wedzone;Ryby i przetwory rybne;Produkty;221;15,5;20,7;0;21;90;409
Maliny;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;29;0,3;1,3;12;11;80;410
Maliny mrozone;;;;;;;;;;;;29;0,3;1,3;12;34;70;411
Mandarynki;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;42;0,2;0,6;11,2;7;90;412
Mango;75;y;y;;y;y;y;y;owoce swieze;owoce i przetwory owocowe;Produkty;67;0,3;0,5;17;26;10;413
Marchew;;;;;;;;;;;;27;0,2;1;8,7;8;30;414
Marchew mrozona;;;;;;;;;;;;24;0,2;0,9;7,8;35;70;415
Marchew z groszkiem mrozona;;;;;;;;;;;;39;0,3;2,6;10,4;20;80;416
Marchewka gotowana, zasmazana;150;Y;Y;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;69;4,8;1,1;8,4;35;50;417
Marchewka z groszkiem gotowana;150;Y;Y;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;64;3,1;1,7;10,7;32;60;418
Margaryna miekka 45% tluszczu;;;;;;;;;Margaryny;Tluszcze;Produkty;398;45;0;0;17;40;419
