0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
Nazwa;Waga nom.;S;DS.;O;P;K;CUSTOM;Samodzielne;Podkategoria;Kategoria glowna;Typ;Kalorie;Tluszcz;Bialko;Weglowodany;Cost;Prep t;id
Budyn w proszku;100;;Y;;Y;;Y;Y;Desery mleczne;Desery;Produkty;369;0,1;0,3;90,5;34;40;50
Budyn z miesa i makaronu;200;;;Y;;Y;;Y;Potrawy z kasz, maki, ziemniakow;Potrawy z kasz, maki, ziemniakow;Potrawy;172;4,4;10,7;23;13;60;51
Bukiet z jarzyn wiosennych mrozony;100;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;30;0,3;2,8;7,5;34;70;52
Bukiet z jarzyn z makaronem mrozony;100;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;133;1,2;5,3;27,8;32;90;53
Bukiet z jarzyn z ryzem mrozony;100;;Y;Y;Y;Y;;Y;mieszanki warzywne mrozone;warzywa i przetwory warzywne;Produkty;66;0,3;2,4;15,6;34;20;54
Buleczki do hot-dogow;50;;Y;Y;Y;Y;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;341;7,5;9,5;59,8;14;100;55
Buleczki drozdzowe z jablkami;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;272;7,2;6,2;47,3;28;70;56
Buleczki drozdzowe z nadzieniem makowym;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;352;8,1;7,8;63,8;23;100;57
Buleczki drozdzowe z nadzieniem serowym;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;339;6,9;8,5;61,7;11;10;58
Buleczki drozdzowe z powidlami sliwkowymi;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;343;6,5;7;65,2;20;30;59
Buleczki z jablkiem i kruszonka;50;Y;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;270;7;6,7;45,9;21;80;60
Bulka tarta;;;;;;;;;;;;347;1,9;9,7;77,6;33;100;61
Bulki grahamki;50;Y;Y;;Y;Y;;Y;Pieczywo pszenne;Produkty zbozowe;Produkty;252;1,7;9;56,1;31;20;62
Bulki i rogale maslane;50;Y;;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;327;5,9;8,5;61;35;50;63
Bulki mieszane z cebula;50;Y;;;Y;;;Y;Pieczywo mieszane;Produkty zbozowe;Produkty;284;3,5;7,9;58,4;29;90;64
Bulki mleczne;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;314;4,5;9,2;60,3;29;60;65
Bulki owsiane;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;304;4,5;9,3;58,4;15;100;66
Bulki pszenne zwykle;50;;;;;;;;Pieczywo pszenne;Produkty zbozowe;Produkty;273;1,5;8,1;57,7;29;80;67
Bulki pszenne zwykle z serwatka;50;;;;;;;;Pieczywo pszenne;Produkty zbozowe;Produkty;277;1,6;8,8;58;29;60;68
Bulki sojowe;50;Y;;;Y;;;Y;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;315;4;10,1;61,1;35;20;69
Bulki szwedki;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;272;1,3;7,6;58,8;29;70;70
Bulki wroclawskie;50;;;;;;;;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;294;4,4;8;56,6;25;10;71
Burak;;;;;;;;;;;;38;0,1;1,8;9,5;9;10;72
Buraki gotowane;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;71;3,5;1,6;10;27;10;73
Buraki puree mrozone;;;;;;;;;;;;34;0,1;1,6;8,6;27;60;74
Buraki z jablkami;150;;Y;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;70;3,3;1,5;10,3;35;10;75
Buraki zasmazane;150;;;Y;;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;83;5,5;1,6;8,6;24;10;76
Buraki ze smietana;150;;;Y;Y;Y;;Y;Warzywa gotowane;Potrawy z warzyw;Potrawy;66;3,4;1,8;8,8;33;30;77
Cebula;;;;;;;;;;;;30;0,4;1,4;6,9;25;50;78
Cebula konserwowa;;;;;;;;;;;;52;0,2;0,7;12,4;31;20;79
Cebula mrozona;;;;;;;;;;;;28;0,4;1,3;6,2;8;40;80
Chalki zdobne;50;;Y;;Y;;;Y;Pieczywo pszenne polcukiernicze;Produkty zbozowe;Produkty;333;7;7,8;60,8;33;20;81
Chalwa kakaowa;;;;;;;;;;;;517;33,5;14,6;45,7;34;10;82
Chalwa waniliowa;;;;;;;;;;;;516;33,1;14,2;46,4;20;10;83
Chalwa z bakaliami;;;;;;;;;;;;510;34,4;16,5;39,8;13;60;84
Chalwa z orzechami;;;;;;;;;;;;537;37,4;17,7;38,7;20;60;85
Chipsy bekonowe;75;;y;;y;;y;y;Chipsy;Przekaski;Produkty;537;38;5,9;52,2;13;60;86
Chipsy paprykowe;75;;y;;y;;y;y;Chipsy;Przekaski;Produkty;549;40;6;50,4;20;10;87
Chipsy solone;75;;y;;y;;y;y;Chipsy;Przekaski;Produkty;552;40,7;5,6;49,9;23;30;88
Chleb baltonowski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;251;1,5;7;54,8;30;60;89
Chleb beskidzki;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;248;1,7;7,5;55,7;28;50;90
Chleb chrupki;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;353;2,4;8,7;78,9;34;80;91
Chleb ekstrudowany pszenny;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;381;5,2;9,2;78,3;6;10;92
Chleb ekstrudowany zytni;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;383;6,1;8,2;78,6;11;40;93
Chleb graham;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;221;1,7;8,3;48,7;27;100;94
Chleb mazowiecki;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;254;1,4;7,6;55;20;70;95
Chleb mieszany jasny rodzynkowy;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;261;1,4;5,8;58,6;12;20;96
Chleb mieszany pytlowy z cebula;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;259;3,6;5,7;54,2;21;90;97
Chleb mieszany razowy z bakaliami;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;247;3,9;7,2;51,4;12;90;98
Chleb mieszany sitkowy z ziarnami;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;242;3;8;50,5;10;100;99
Chleb mieszany slonecznikowy;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;240;4,5;6,8;48,9;18;10;100
Chleb mieszany z platkami owsianymi;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;238;2,3;7;54,2;21;50;101
Chleb mieszany z soja;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;226;2,7;7,1;49,2;8;60;102
Chleb mleczny;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;256;1,5;7,7;55,3;18;50;103
Chleb naleczowski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;248;1,3;6,6;55,3;29;60;104
Chleb poleski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;247;2,1;7,1;54,5;8;30;105
Chleb praski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;248;1,3;6,6;55,3;34;50;106
Chleb pszenny;50;Y;Y;Y;Y;Y;;Y;Pieczywo mieszane;Produkty zbozowe;Produkty;257;1,4;8,5;54,3;17;90;107
Chleb pszenny z ziarnem pszenicy;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;223;1,8;8,3;49,5;11;30;108
Chleb wiejski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;245;1,3;6,9;54;22;100;109
Chleb wielkopolski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;254;1,5;6,7;56,6;5;30;110
Chleb zakopianski;50;;;;;;;;Pieczywo mieszane;Produkty zbozowe;Produkty;261;1,5;7,7;56,9;7;10;111
Chleb zwykly;50;Y;Y;Y;Y;Y;;Y;Pieczywo mieszane;Produkty zbozowe;Produkty;248;1,3;6,1;56,3;19;40;112
Chleb zytni jasny;50;Y;Y;Y;Y;Y;;Y;Pieczywo zytnie;Produkty zbozowe;Produkty;243;1,3;3,8;57,4;7;100;113
Chleb zytni jasny mleczny;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;258;1,8;4,6;59,1;23;20;114
Chleb zytni pelnoziarnisty;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;225;1,8;6,8;53,8;33;70;115
Chleb zytni pytlowy;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;240;1,5;4,4;56,2;14;70;116
Chleb zytni razowy;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;213;1,7;5,9;51,2;32;10;117
Chleb zytni razowy litewski;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;224;1,7;6,6;52,6;15;40;118
Chleb zytni razowy na miodzie;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;225;1,6;5,6;54;16;60;119
Chleb zytni razowy wytrawny;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;217;1,7;7;50,8;13;30;120
Chleb zytni razowy z soja i slonecznikiem;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;226;3,5;7,8;48,7;33;70;121
Chleb zytni razowy ze sliwka;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;228;1,6;5,3;54,3;18;10;122
Chleb zytni sitkowy;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;220;1,5;5,4;53;29;70;123
Chleb zytni staropolski;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;225;1,4;4,5;52,1;6;90;124
Chleb zytni wilenski;50;;;;;;;;Pieczywo zytnie;Produkty zbozowe;Produkty;218;1,5;4,4;52,2;33;50;125
Chrupki kukurydziane;;;;;;;;;Produkty sniadaniowe;Produkty zbozowe;Produkty;352;3;8,9;78,9;26;60;126
Chrzan;;;;;;;;;;;;67;0,6;4,5;18,1;10;100;127
Ciabatta;50;Y;Y;Y;Y;Y;;Y;Pieczywo pszenne wyborowe;Produkty zbozowe;Produkty;298;3,6;8,7;58,7;12;40;128
"Ciastka ""Karpatki""";50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;456;30,8;4,9;40,7;17;70;129
"Ciastka ""Napoleonki""";50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;348;16,9;6,1;43,5;7;80;130
Ciastka drozdzowe z truskawkami;50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;383;13,6;8;58,5;6;40;131
Ciastka francuskie ze sliwkami;50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;435;26,6;5,3;45,4;26;80;132
Ciastka ponczowe z kremem;50;;y;;y;;y;y;Ciastka;Przekaski;Produkty;393;17,3;4,6;55,3;13;20;133
